City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
503,kitgum,3.2783,32.8867,293.86,81,86,0.66,UG,1702261991
504,galle,6.0367,80.217,298.93,86,100,1.61,LK,1702261992
505,homer,59.6425,-151.5483,276.09,87,100,8.75,US,1702261992
506,north bend,43.4065,-124.2243,286.57,100,100,2.57,US,1702261806
507,chernyshevsk,52.5243,117.0174,243.11,92,14,1.21,RU,1702261993
508,shahrud,36.4182,54.9763,278.98,58,8,2.66,IR,1702261994
509,qui nhon,13.7667,109.2333,299.34,74,46,0.95,VN,1702261994
510,turaif,31.6725,38.6637,285.29,71,0,7.2,SA,1702261995
511,labrador city,52.9463,-66.9114,273.1,93,100,6.69,CA,1702261782
512,dokkum,53.3222,5.997,282.59,93,75,6.69,NL,1702261996
513,noyabrsk,63.1994,75.4507,236.61,99,58,3.58,RU,1702261997
514,rostov,57.1914,39.4139,263.33,93,100,5.79,RU,1702261997
515,buka,40.8108,69.1986,276.76,58,100,0.71,UZ,1702261998
516,terrace,54.5163,-128.6035,274.38,100,100,1.54,CA,1702261968
517,bodo,67.28,14.405,269.17,68,100,8.75,NO,1702261999
518,mount isa,-20.7333,139.5,304.02,35,7,5.66,AU,1702261773
519,prado,-17.3411,-39.2208,296.39,88,1,0.91,BR,1702261859
520,olyokminsk,60.3736,120.4264,246.91,90,100,3.3,RU,1702262001
521,mersing,2.4312,103.8405,298.1,94,40,0.0,MY,1702262001
522,raduzhny,62.0961,77.475,237.62,99,22,1.48,RU,1702262002
523,decize,46.8285,3.4619,286.17,98,100,1.98,FR,1702262002
524,maych'ew,12.7875,39.5422,283.38,73,4,0.57,ET,1702262003
525,sirte,31.2089,16.5887,291.29,67,70,11.61,LY,1702262004
526,dagomys,43.6703,39.6689,283.12,82,91,1.35,RU,1702262004
527,al bawiti,28.3492,28.8659,287.03,39,3,3.05,EG,1702262005
528,novo aripuana,-5.1206,-60.3797,298.05,88,93,1.16,BR,1702262006
529,khuzdar,27.7384,66.6434,284.45,21,2,2.9,PK,1702262006
530,mana,5.6592,-53.7767,298.41,91,29,3.31,GF,1702262007
531,chemmumiahpet,15.8979,79.3213,295.91,69,66,1.19,IN,1702262007
532,caqueza,4.4057,-73.9468,291.96,96,100,0.59,CO,1702262008
533,kyenjojo,0.6328,30.6214,288.96,96,76,0.55,UG,1702262009
534,america dourada,-11.4553,-41.4361,294.66,76,9,5.29,BR,1702262009
535,tirumullaivasal,11.2333,79.8333,300.29,76,100,5.25,IN,1702262010
536,qazax,41.0933,45.3661,280.08,72,1,1.5,AZ,1702262011
537,raja,8.4596,25.678,296.46,24,100,0.52,SS,1702261810
538,tariba,7.8188,-72.2243,297.46,93,100,1.58,VE,1702262012
539,dakoro,14.5106,6.765,289.53,28,1,6.99,NE,1702262012
540,greymouth,-42.4667,171.2,287.88,60,6,5.36,NZ,1702261748
541,vytegra,61.0064,36.4481,262.04,90,100,4.67,RU,1702262013
542,kandalaksha,67.162,32.4123,258.1,97,99,1.79,RU,1702262014
543,narasapur,16.45,81.6667,297.49,73,1,2.79,IN,1702262015
544,gorontalo,0.5412,123.0595,304.96,61,96,2.76,ID,1702262015
545,medina,24.4686,39.6142,293.39,19,0,5.14,SA,1702261837
546,siniscola,40.5719,9.6922,286.9,69,91,3.3,IT,1702262016
547,akureyri,65.6835,-18.0878,262.11,92,0,1.54,IS,1702262017
548,cavan,53.9908,-7.3606,280.83,88,97,4.3,IE,1702262017
549,krutaya gorka,55.3649,73.2231,238.97,98,83,3.69,RU,1702262018
550,venezuela,8.0,-66.0,300.93,63,12,5.78,VE,1702261749
551,tofol,5.3248,163.0078,304.03,70,75,6.17,FM,1702261775
552,adjumani,3.3779,31.7909,293.76,85,80,1.02,UG,1702262020
553,phanat nikhom,13.4458,101.1844,304.98,100,46,1.28,TH,1702262020
554,bokovskaya,49.229,41.8306,269.18,67,100,7.12,RU,1702262021
555,la mira,18.035,-102.3266,299.2,70,100,1.53,MX,1702262022
556,shendi,16.6915,33.4341,295.87,19,1,2.87,SD,1702262022
557,volzhskiy,48.7858,44.7797,265.88,67,100,5.97,RU,1702262023
558,lisala,2.15,21.5167,295.07,87,92,0.45,CD,1702262023
559,cooper's town,26.8667,-77.5167,297.77,84,76,10.38,BS,1702262024
560,ancud,-41.8697,-73.8203,284.39,91,100,0.91,CL,1702261848
561,argo,37.6333,22.7333,285.81,93,100,1.73,GR,1702262025
562,basciftlik,40.5469,37.1692,275.65,78,100,3.11,TR,1702262025
563,barnesville,33.0546,-84.1557,279.29,79,0,4.12,US,1702262026
564,san ignacio de velasco,-16.3667,-60.95,296.84,79,90,1.19,BO,1702262026
565,ekuvukeni,-28.4675,30.1551,288.29,95,100,1.34,ZA,1702262027
566,thasra,22.8,73.2167,293.23,55,0,2.6,IN,1702262028
567,the pas,53.8251,-101.2541,263.16,92,100,4.63,CA,1702262028
568,caldas novas,-17.7417,-48.625,294.95,86,100,0.89,BR,1702262029
569,mount pearl,47.5166,-52.7813,272.63,94,75,9.26,CA,1702262030
